,Estacion,Fecha,temperatura,radiacion,humedad relativa
0,Amazonas,2022-12-03 05:00,22.4,2.0,96
1,Amazonas,2022-12-03 05:15,22.1,1.9,96
2,Amazonas,2022-12-03 05:30,21.7,2.0,96
3,Amazonas,2022-12-03 05:45,21.8,2.1,96
4,Amazonas,2022-12-03 06:00,21.6,3.9,96
5,Amazonas,2022-12-03 06:15,21.3,6.1,97
6,Amazonas,2022-12-03 06:30,21.4,11.2,97
7,Amazonas,2022-12-03 06:45,21.8,20.9,97
8,Amazonas,2022-12-03 07:00,22.1,29.1,97
9,Amazonas,2022-12-03 07:15,23.5,123.1,96
10,Amazonas,2022-12-03 07:30,24.6,160.1,92
11,Amazonas,2022-12-03 07:45,25.7,198.7,87
12,Amazonas,2022-12-03 08:00,26.6,244.0,83
13,Amazonas,2022-12-03 08:15,27.2,284.1,80
14,Amazonas,2022-12-03 08:30,27.7,312.3,79
15,Amazonas,2022-12-03 08:45,28.5,346.0,76
16,Amazonas,2022-12-03 09:00,29.1,384.6,74
17,Amazonas,2022-12-03 09:15,29.6,365.0,72
18,Amazonas,2022-12-03 09:30,29.8,397.9,71
19,Amazonas,2022-12-03 09:45,30.6,480.9,69
20,Amazonas,2022-12-03 10:00,31.1,516.4,66
21,Amazonas,2022-12-03 10:15,31.9,593.1,61
22,Amazonas,2022-12-03 10:30,32.5,627.9,59
23,Amazonas,2022-12-03 10:45,32.3,520.3,59
24,Amazonas,2022-12-03 11:00,33.0,575.6,58
25,Amazonas,2022-12-03 11:15,32.2,310.9,62
26,Amazonas,2022-12-03 11:30,32.8,453.4,60
27,Amazonas,2022-12-03 11:45,33.6,695.4,57
28,Amazonas,2022-12-03 12:00,33.6,646.6,57
29,Amazonas,2022-12-03 12:15,33.0,377.8,58
30,Amazonas,2022-12-03 12:30,32.9,550.7,59
31,Amazonas,2022-12-03 12:45,34.1,738.1,55
32,Amazonas,2022-12-03 13:00,34.3,618.7,53
33,Amazonas,2022-12-03 13:15,34.3,522.1,54
34,Amazonas,2022-12-03 13:30,33.9,610.0,54
35,Amazonas,2022-12-03 13:45,34.4,551.5,53
36,Amazonas,2022-12-03 14:00,34.0,358.7,56
37,Amazonas,2022-12-03 14:15,32.7,363.1,58
38,Amazonas,2022-12-03 14:30,33.3,501.5,58
39,Amazonas,2022-12-03 14:45,32.9,332.1,59
40,Amazonas,2022-12-03 15:00,32.4,206.3,60
41,Amazonas,2022-12-03 15:15,32.8,322.6,60
42,Amazonas,2022-12-03 15:30,33.3,337.3,58
43,Amazonas,2022-12-03 15:45,32.9,293.7,59
44,Amazonas,2022-12-03 16:00,32.7,249.6,61
45,Amazonas,2022-12-03 16:15,32.8,202.1,61
46,Amazonas,2022-12-03 16:30,32.0,94.8,63
47,Amazonas,2022-12-03 16:45,31.5,110.1,66
48,Amazonas,2022-12-03 17:00,31.3,62.4,60
49,Amazonas,2022-12-03 17:15,30.2,35.9,70
50,Amazonas,2022-12-03 17:30,29.1,9.6,73
51,Amazonas,2022-12-03 17:45,28.3,3.7,76
52,Amazonas,2022-12-03 18:00,27.6,2.0,79
53,Amazonas,2022-12-03 18:15,27.9,1.9,77
54,Amazonas,2022-12-03 18:30,27.1,1.6,80
55,Amazonas,2022-12-03 18:45,26.0,1.6,85
56,Amazonas,2022-12-03 19:00,25.8,1.7,84
57,Amazonas,2022-12-03 19:15,26.4,2.0,74
58,Amazonas,2022-12-03 19:30,26.2,1.7,68
59,Amazonas,2022-12-03 19:45,27.2,1.6,55
60,Amazonas,2022-12-03 20:00,28.0,1.9,50
61,Amazonas,2022-12-03 20:15,28.0,1.8,50
62,Amazonas,2022-12-03 20:30,27.9,1.7,50
63,Amazonas,2022-12-03 20:45,28.1,1.6,49
64,Amazonas,2022-12-03 21:00,27.7,1.7,50
